Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,6790,171,45,3432,161.93,0.000%,112.98589,91.40,13.24,828.4
TOTAL,6790,171,45,3432,161.93,0.000%,112.98589,91.40,13.24,828.4
