Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,13200,79,36,592,43.29,100.000%,219.95601,70.67,30.61,329.0
TOTAL,13200,79,36,592,43.29,100.000%,219.95601,70.67,30.61,329.0
