Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,366,52,1233,274.91,0.000%,3.35233,2.71,0.39,828.4
TOTAL,100,366,52,1233,274.91,0.000%,3.35233,2.71,0.39,828.4
