Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,50,173,44,959,211.39,100.000%,25.40650,8.16,3.03,329.0
TOTAL,50,173,44,959,211.39,100.000%,25.40650,8.16,3.03,329.0
